year,state,chemical_type,chemical_name,chem_app(lbs),lb/acre/app(avg),lb/acre/yr(avg),num_app(avg),pct_area_treated(avg)
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)",100,0.103,0.121,1.2,17
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","1,500",,,,24
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)",,,,,
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","80,500",17.165,47.061,2.7,44
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)",,,,,
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","1,400",0.356,0.829,2.3,45
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)",,,,,
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (STRYCHNINE = 76901)",,,,,
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","93,100",,,,53
2019,CALIFORNIA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",,,,,
2019,CALIFORNIA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)",,,,,
2019,CALIFORNIA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",,,,,
2019,CALIFORNIA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)",,,,,
2019,CALIFORNIA,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","1,300",,,,36
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)",,,,,
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)",100,0.393,0.469,1.2,6
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","4,200",2.003,7.96,4,13
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)","10,100",3.783,7.187,1.9,36
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","3,500",1.382,2.425,1.8,37
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",300,1.01,1.978,2,4
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)",,,,,
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)",,,,,
2019,CALIFORNIA,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","18,300",,,,53
2019,CALIFORNIA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)",,,,,
2019,CALIFORNIA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)",,,,,
2019,CALIFORNIA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CRYOLITE = 75101)",,,,,
2019,CALIFORNIA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)",,,,,
2019,CALIFORNIA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)",100,0.103,0.121,1.2,17
2019,CALIFORNIA,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","1,500",,,,24
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)",,,,,
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","80,500",17.165,47.061,2.7,44
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)",,,,,
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","1,400",0.356,0.829,2.3,45
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)",,,,,
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (STRYCHNINE = 76901)",,,,,
2019,CALIFORNIA,"CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","93,100",,,,53
